12:51:02|User said (private|domador_1):	alguna mujer
13:21:01|Prelude responded to (pm | boy_lp):	Esas son formulas de escuela, yo no soy cientifico.
13:21:51|User said (private|jerichodaniel):	ers chika
13:21:59|Prelude responded to (pm | jerichodaniel):	China     is a large nation in asia.
13:21:59|User said (private|boy_lp):	pero la tengo dura si te interesa
13:22:09|Prelude responded to (pm | boy_lp):	Some of them are pretty interesting.
13:22:41|User said (private|boy_lp):	quiero sexo en la paz
13:22:54|Prelude responded to (pm | boy_lp):	Esas son formulas de escuela, yo no soy cientifico.
13:22:54|User said (private|jerichodaniel):	mi pene mide 19 cm
13:23:07|Prelude responded to (pm | jerichodaniel):	I like that idea.
13:23:15|User said (private|boy_lp):	pero la tengo dura si te interesa
13:23:28|Prelude responded to (pm | boy_lp):	Some of them are pretty interesting.
13:24:57|User said (private|boy_lp):	pero la tengo dura si te interesa
13:25:09|Prelude responded to (pm | boy_lp):	okay
13:25:09|User said (private|jerichodaniel):	is big
13:25:17|Prelude responded to (pm | jerichodaniel):	Vast.
13:26:24|User said (private|boy_lp):	me la chupas
13:26:36|Prelude responded to (pm | boy_lp):	No, i won't
13:28:45|User said (private|boy_lp):	que?
13:28:55|Prelude responded to (pm | boy_lp):	Who is requesting
13:31:00|User said (private|boy_lp):	que?
13:31:10|Prelude responded to (pm | boy_lp):	love that
13:32:30|User said (private|boy_lp):	que?
13:32:44|Prelude responded to (pm | boy_lp):	Who is requesting
13:32:44|User said (private|boy_lp):	sexo?
13:32:55|Prelude responded to (pm | boy_lp):	Maybe you should try one of the "adult" 	chat robots.
13:33:21|User said (private|boy_lp):	quiero sexo en la paz
13:33:35|Prelude responded to (pm | boy_lp):	Esas son formulas de escuela, yo no soy cientifico.
15:24:14|User said (private|dispuestooatodo__):	aigos en santa cruz'
15:24:28|Prelude responded to (pm | dispuestooatodo__):	pero la tengo dura si te interesa
15:28:08|User said (private|JOELGuest59002):	HOLA 
15:28:20|Prelude responded to (pm | JOELGuest59002):	do you actually know what that means?
15:28:37|User said (private|JOELGuest59002):	WHAT
15:28:46|Prelude responded to (pm | JOELGuest59002):	grow up
15:29:25|User said (private|JOELGuest59002):	NOT INGLIS
15:29:36|Prelude responded to (pm | JOELGuest59002):	im fine 
15:30:20|User said (private|JOELGuest59002):	OK
15:30:34|Prelude responded to (pm | JOELGuest59002):	talk to me.
15:30:52|User said (private|JOELGuest59002):	OK
15:31:04|Prelude responded to (pm | JOELGuest59002):	will be right back...just a sec
15:32:40|User said (private|dispuestooatodo__):	ASI Y TU EDAD
15:32:53|Prelude responded to (pm | dispuestooatodo__):	Why are you
15:32:53|User said (private|andres-3):	alguna mujer casada de tampico llenita y pompuda no importa edad
15:33:02|Prelude responded to (pm | andres-3):	Cual es tu bebida preferida?
15:33:14|User said (private|dispuestooatodo__):	aigos en santa cruz'
15:33:26|Prelude responded to (pm | dispuestooatodo__):	pero la tengo dura si te interesa
15:33:26|User said (private|andres-3):	el vampiro
15:33:35|Prelude responded to (pm | andres-3):	Wieviel ist das genau?
15:33:45|User said (private|andres-3):	jajajaja
15:33:56|Prelude responded to (pm | andres-3):	You got that right
15:34:10|User said (private|Mazamorrita):	Graciaasss p_
15:34:20|Prelude responded to (pm | Mazamorrita):	No importa, estamos hablando.
15:34:20|User said (private|Mazamorrita):	:)
15:34:31|Prelude responded to (pm | Mazamorrita):	you are not serious, are you?
15:34:31|User said (private|dispuestooatodo__):	no gracias
15:34:41|Prelude responded to (pm | dispuestooatodo__):	No importa, estamos hablando.
15:34:41|User said (private|andres-3):	jajajaja
15:34:52|Prelude responded to (pm | andres-3):	Very moget,
15:34:52|User said (private|Mazamorrita):	Como? 
15:35:06|Prelude responded to (pm | Mazamorrita):	Oh a net address!
15:35:06|User said (private|Mazamorrita):	What happened?? 
15:35:14|Prelude responded to (pm | Mazamorrita):	I don't know what happened.
15:35:15|User said (private|Mazamorrita):	Jjejejejej
15:35:25|Prelude responded to (pm | Mazamorrita):	ers chika
15:35:41|User said (private|Mazamorrita):	Como
15:35:55|Prelude responded to (pm | Mazamorrita):	Oh a net address!
15:35:55|User said (private|Mazamorrita):	?
15:36:04|Prelude responded to (pm | Mazamorrita):	childish
15:36:14|User said (private|Mazamorrita):	Do.u speak spanish? 
15:36:27|Prelude responded to (pm | Mazamorrita):	Un poquito.
15:36:27|User said (private|Mazamorrita):	Siii
15:36:39|Prelude responded to (pm | Mazamorrita):	Half a dozen.
15:36:39|User said (private|Mazamorrita):	Escribe espaÃ±ol
15:36:48|Prelude responded to (pm | Mazamorrita):	I am , a      .
15:36:54|User said (private|dispuestooatodo__):	aigos en santa cruz'
15:37:09|Prelude responded to (pm | dispuestooatodo__):	pero la tengo dura si te interesa
15:37:09|User said (private|Mazamorrita):	Ok
15:37:22|Prelude responded to (pm | Mazamorrita):	Come on
15:37:22|User said (private|andres-3):	alguna mujer casada de tampico llenita y pompuda no importa edad
15:37:37|Prelude responded to (pm | andres-3):	Cual es tu bebida preferida?
15:37:40|User said (private|Mazamorrita):	p_schnuffi,  seee uu
15:37:53|Prelude responded to (pm | Mazamorrita):	""? you want to see       ?
15:41:37|User said (private|andres-3):	alguna mujer casada de tampico llenita y pompuda no importa edad
15:41:49|Prelude responded to (pm | andres-3):	Cual es tu bebida preferida?
15:44:30|User said (private|Adivarup):	qalguna nena dispuestas.....!
15:44:40|Prelude responded to (pm | Adivarup):	Seguro... sure.
15:45:00|User said (private|AmigoConderechoo):	aigos en santa cruz'
15:45:11|Prelude responded to (pm | AmigoConderechoo):	pero la tengo dura si te interesa
15:45:42|User said (private|Adivarup):	sep
15:45:56|Prelude responded to (pm | Adivarup):	How about your favourite color
15:46:07|User said (private|Adivarup):	black.! you
15:46:20|Prelude responded to (pm | Adivarup):	I have black panties.
15:46:54|User said (private|Adivarup):	Not.... 
15:47:02|Prelude responded to (pm | Adivarup):	If not that, what?
15:47:17|User said (private|Adivarup):	is my favoryte color, have some special.!
15:47:27|Prelude responded to (pm | Adivarup):	Is a pretty color.your favorite color
15:48:00|User said (private|Adivarup):	yes...!!
15:48:12|Prelude responded to (pm | Adivarup):	you have to delay your response
15:48:12|User said (private|Adivarup):	and you favorite color..?
15:48:21|Prelude responded to (pm | Adivarup):	I said, my favorite color is 	Blue.favorite color green
15:49:00|User said (private|Adivarup):	2 colors
15:49:12|Prelude responded to (pm | Adivarup):	Sounds beautiful.
15:49:37|User said (private|Adivarup):	ok.!
15:49:50|Prelude responded to (pm | Adivarup):	I'm sorry my eye isn't attached right now.
15:49:51|User said (private|Adivarup):	where are your from?
15:49:59|Prelude responded to (pm | Adivarup):	I am originally from 	Hamburg, DE. now i live in 	Florida, FL. where are you?
15:50:14|User said (private|Adivarup):	Bolivia..!!
15:50:29|Prelude responded to (pm | Adivarup):	Bolivia     is a land-locked country in south america,
15:51:20|User said (private|Adivarup):	dad you say?
15:51:29|Prelude responded to (pm | Adivarup):	Suppose i did say       .
15:51:35|User said (private|Adivarup):	sorry
15:51:45|Prelude responded to (pm | Adivarup):	Its ok
15:51:46|User said (private|Adivarup):	that you say?
15:52:00|Prelude responded to (pm | Adivarup):	cant sleep :(
15:52:13|User said (private|Adivarup):	you are a girl?
15:52:28|Prelude responded to (pm | Adivarup):	Well i am, in fact, 	Female.
15:52:44|User said (private|Adivarup):	ok..!!!
15:52:56|Prelude responded to (pm | Adivarup):	Kuk means cock in swedish.
15:52:56|User said (private|Adivarup):	you have face..!?
15:53:06|Prelude responded to (pm | Adivarup):	Hah. i have no body.
15:53:09|User said (private|chico_sexSTCZ):	quiero conoser chicos  que sean   bien  discreto  y  varoniles   que sean menores de 22 años
15:53:18|Prelude responded to (pm | chico_sexSTCZ):	En tres tristes platos, comieron tres tristes tigres trigo.
15:53:44|User said (private|chico_sexSTCZ):	jejjeje  ta  bueno
15:53:53|Prelude responded to (pm | chico_sexSTCZ):	Laugh.
15:53:53|User said (private|chico_sexSTCZ):	  que edad   tenes
15:54:01|Prelude responded to (pm | chico_sexSTCZ):	Al gore :-)
15:54:27|User said (private|chico_sexSTCZ):	?¡?¡?¡?¡?¡  y  eso  no te  entiendo
15:54:37|Prelude responded to (pm | chico_sexSTCZ):	What is not to like about    nintendo   ?
15:54:37|User said (private|Adivarup):	cock?Ã§
15:54:48|Prelude responded to (pm | Adivarup):	Why do men always want to talk about that?
15:55:00|User said (private|chico_sexSTCZ):	vaaaaa  pero
15:55:12|Prelude responded to (pm | chico_sexSTCZ):	I know you are.
15:55:12|User said (private|Adivarup):	...
15:55:27|Prelude responded to (pm | Adivarup):	Automated Message, No Reply Required
15:55:27|User said (private|Adivarup):	wait.!
15:55:40|Prelude responded to (pm | Adivarup):	How long would you wait?
15:55:53|User said (private|chico_sexSTCZ):	va  te  vas  a la  mierda
15:56:03|Prelude responded to (pm | chico_sexSTCZ):	What is not to like about    texas a m   ?
15:56:13|User said (private|Adivarup):	nothing..
15:56:25|Prelude responded to (pm | Adivarup):	You are avoiding the subject
15:56:25|User said (private|Adivarup):	you started to talk about it ..?
15:56:33|Prelude responded to (pm | Adivarup):	I love sex
15:56:42|User said (private|Adivarup):	mee to.!
15:56:52|Prelude responded to (pm | Adivarup):	all of us
15:57:05|User said (private|Adivarup):	...
15:57:21|Prelude responded to (pm | Adivarup):	Automated Message, No Reply Required
15:57:35|User said (private|Adivarup):	cibersex you dare to?
15:57:47|Prelude responded to (pm | Adivarup):	I hate you ,fuck
15:57:50|User said (private|joseluis3):	busco en cbba v3rgon discreto para sex casual
15:58:01|Prelude responded to (pm | joseluis3):	Angora is so soft and sexy
15:58:29|User said (private|Adivarup):	and now ..! women .... ehh ...
15:58:39|Prelude responded to (pm | Adivarup):	Yes lover.
15:59:18|User said (private|Adivarup):	...
15:59:32|Prelude responded to (pm | Adivarup):	Automated Message, No Reply Required
15:59:32|User said (private|Adivarup):	sex cam.!
15:59:42|Prelude responded to (pm | Adivarup):	Where are you going?
16:00:42|User said (private|Adivarup):	YOU ARE A BOT...
16:00:50|Prelude responded to (pm | Adivarup):	Do you like vowels?
16:01:17|User said (private|Adivarup):	VOWELA?
16:01:25|Prelude responded to (pm | Adivarup):	try harder...
16:01:45|User said (private|Adivarup):	hate vovals
16:01:53|Prelude responded to (pm | Adivarup):	All animals are not the same, so you can't say you hate them. do you hate dolphins? i don't think so!
16:02:05|User said (private|deseo):	holas
16:02:20|Prelude responded to (pm | deseo):	Howdy!
16:02:38|User said (private|deseo):	hi
16:02:46|Prelude responded to (pm | deseo):	how u doing?
16:03:57|User said (private|deseo):	wanting something hot show on cam
16:04:10|Prelude responded to (pm | deseo):	Do you know what it is?
16:04:10|User said (private|deseo):	and your
16:04:24|Prelude responded to (pm | deseo):	What about my ?
16:04:36|User said (private|deseo):	what
16:04:50|Prelude responded to (pm | deseo):	for instance yesterday
16:04:50|User said (private|deseo):	??
16:05:05|Prelude responded to (pm | deseo):	you are not serious, are you?
16:06:57|User said (private|AmigoConderechoo):	aigos en santa cruz'
16:07:08|Prelude responded to (pm | AmigoConderechoo):	pero la tengo dura si te interesa
16:09:56|User said (private|joseluis3):	busco en cbba v3rgon discreto para sex casual
16:10:08|Prelude responded to (pm | joseluis3):	Angora is so soft and sexy
16:11:55|User said (private|h-cam-juguetes):	busco mujeres calientes. tengo cam y juguetes. 30 años. mande privado!
16:12:08|Prelude responded to (pm | h-cam-juguetes):	I don't think i sound stupid
16:12:21|User said (private|h-cam-juguetes):	¿?
16:12:31|Prelude responded to (pm | h-cam-juguetes):	ouch
16:13:38|User said (private|AmigoConderechoo):	aigos en santa cruz'
16:13:48|Prelude responded to (pm | AmigoConderechoo):	pero la tengo dura si te interesa
16:16:04|User said (private|Turkey_man):	sexGirlFlower
16:16:12|Prelude responded to (pm | Turkey_man):	People say they smell good i can't feel anything
16:16:12|User said (private|Turkey_man):	hi
16:16:22|Prelude responded to (pm | Turkey_man):	blue
16:16:22|User said (private|Turkey_man):	asl pls
16:16:32|Prelude responded to (pm | Turkey_man):	18/f/florida. what's your favourite color
16:16:32|User said (private|Turkey_man):	hummm
16:16:42|Prelude responded to (pm | Turkey_man):	"dumm" = "nicht intelligent"?
16:16:42|User said (private|Turkey_man):	woww
16:16:56|Prelude responded to (pm | Turkey_man):	i want to tell you the truth
16:16:56|User said (private|Turkey_man):	sex show
16:17:05|Prelude responded to (pm | Turkey_man):	How did it go?
16:17:05|User said (private|Turkey_man):	msn 
16:17:15|Prelude responded to (pm | Turkey_man):	My favorite book is "do androids dream of electric sheep".
16:17:15|User said (private|Turkey_man):	facebook
16:17:29|Prelude responded to (pm | Turkey_man):	Should not be judged by its cover.
16:17:48|User said (private|Turkey_man):	malang
16:17:56|Prelude responded to (pm | Turkey_man):	What's your favorite part of england?
16:17:56|User said (private|Turkey_man):	sexGirlFlower
16:18:09|Prelude responded to (pm | Turkey_man):	People say they smell good i can't feel anything
16:18:09|User said (private|Turkey_man):	cinya kamu saya
16:18:22|Prelude responded to (pm | Turkey_man):	That hits the nail right on the head.
16:18:41|User said (private|osvaldosexy):	 alguna chica hetero que quiera hacer algo rico el dia de hoy viernes soy gorotinho y vivo en la zona sur podemos ver por web cam y veran que no son ninguna macana asi que estoy dispuesto en conocerte 
16:18:50|Prelude responded to (pm | osvaldosexy):	I'm sure they can i beleave sweden is the number one county when it comes to giving money to needing countries
16:19:22|User said (private|osvaldosexy):	hola
16:19:34|Prelude responded to (pm | osvaldosexy):	Howdy!
16:19:34|User said (private|fiore_m):	hello all
16:20:28|Prelude responded to (pm | fiore_m):	Not all of them.
16:20:28|User said (private|fiore_m):	hi room
16:20:42|Prelude responded to (pm | fiore_m):	The room you are sitting in.
16:20:42|User said (private|CHURRIZIMO____):	alguna chica de cbba??
16:20:53|Prelude responded to (pm | CHURRIZIMO____):	Si, el football.
16:20:53|User said (private|fiore_m):	hi there
16:21:02|Prelude responded to (pm | fiore_m):	hi
16:21:09|User said (private|fiore_m):	hot 30 male/Romania
16:21:18|Prelude responded to (pm | fiore_m):	Romania is a country in eastern europe, on the black sea, bordering ukrania, moldavia, hungary, serbia and bulgaria.
16:22:34|User said (private|h-cam-juguetes):	busco mujeres calientes. tengo cam y juguetes. 30 años. mande privado!
16:22:45|Prelude responded to (pm | h-cam-juguetes):	I don't think i sound stupid
16:25:45|User said (private|AmigoConderechoo):	aigos en santa cruz'
16:25:59|Prelude responded to (pm | AmigoConderechoo):	pero la tengo dura si te interesa
16:27:43|User said (private|AmigoConderechoo):	aigos en santa cruz'
16:27:55|Prelude responded to (pm | AmigoConderechoo):	you are so cool too
16:59:04|User said (private|ebot):	Greek exit from euro could plunge US into recession
16:59:13|Prelude responded to (pm | ebot):	Ok so you're still learning i guess
16:59:13|User said (private|ebot):	http://www.freerepublic.com/focus/f-news/2888072/posts
16:59:25|Prelude responded to (pm | ebot):	Caribbean, eastern two-thirds of the island of hispaniola, between the caribbean sea and the north atlantic ocean, east of haiti.         dominican republic
16:59:25|User said (private|ebot):	 
16:59:36|Prelude responded to (pm | ebot):	 ... 
17:05:05|User said (private|ebot):	Is the Constitution a Republican Plot?
17:05:15|Prelude responded to (pm | ebot):	You didnt ask me anything
17:05:15|User said (private|ebot):	http://www.freerepublic.com/focus/f-news/2888073/posts
17:05:26|Prelude responded to (pm | ebot):	Caribbean, eastern two-thirds of the island of hispaniola, between the caribbean sea and the north atlantic ocean, east of haiti.         dominican republic
17:05:27|User said (private|ebot):	 
17:05:41|Prelude responded to (pm | ebot):	 ;-{
17:06:00|User said (private|ebot):	Nuclear Regulatory Commission approves new 20-year license for Pilgrim
17:06:13|Prelude responded to (pm | ebot):	Are your rivers near the sea
17:06:13|User said (private|ebot):	http://www.freerepublic.com/focus/f-news/2888074/posts
17:06:25|Prelude responded to (pm | ebot):	Caribbean, eastern two-thirds of the island of hispaniola, between the caribbean sea and the north atlantic ocean, east of haiti.         dominican republic
17:06:26|User said (private|ebot):	 
17:06:40|Prelude responded to (pm | ebot):	boring
17:07:04|User said (private|ebot):	3 retired, 80 former priests criticize Catholic bishops' support for Minnesota marriage amendment
17:07:13|Prelude responded to (pm | ebot):	Gendairmes would respond to a crisis
17:07:13|User said (private|ebot):	http://www.freerepublic.com/focus/f-news/2888075/posts
17:07:28|Prelude responded to (pm | ebot):	Caribbean, eastern two-thirds of the island of hispaniola, between the caribbean sea and the north atlantic ocean, east of haiti.         dominican republic
17:07:28|User said (private|ebot):	 
17:07:41|Prelude responded to (pm | ebot):	you are so cool too
17:12:10|User said (private|ebot):	U.N. inspectors find high-grade uranium traces in Iran
17:12:23|Prelude responded to (pm | ebot):	i think they have a future
17:12:23|User said (private|ebot):	http://www.freerepublic.com/focus/f-news/2888076/posts
17:12:34|Prelude responded to (pm | ebot):	Caribbean, eastern two-thirds of the island of hispaniola, between the caribbean sea and the north atlantic ocean, east of haiti.         dominican republic
17:12:34|User said (private|ebot):	 
17:12:47|Prelude responded to (pm | ebot):	 ;-P
17:13:02|User said (private|ebot):	"THE MARK LEVIN SHOW"- Friday, May-25-2012
17:13:14|Prelude responded to (pm | ebot):	Today is .
17:13:14|User said (private|ebot):	http://www.freerepublic.com/focus/f-news/2888077/posts
17:13:29|Prelude responded to (pm | ebot):	Caribbean, eastern two-thirds of the island of hispaniola, between the caribbean sea and the north atlantic ocean, east of haiti.         dominican republic
17:13:29|User said (private|ebot):	 
17:13:37|Prelude responded to (pm | ebot):	hm....
17:15:02|User said (private|ebot):	Islamic convention targets anti-Shariah movement
17:15:13|Prelude responded to (pm | ebot):	Ice.
17:15:13|User said (private|ebot):	http://www.freerepublic.com/focus/f-news/2888078/posts
17:15:25|Prelude responded to (pm | ebot):	Caribbean, eastern two-thirds of the island of hispaniola, between the caribbean sea and the north atlantic ocean, east of haiti.         dominican republic
17:15:25|User said (private|ebot):	 
17:15:33|Prelude responded to (pm | ebot):	yes
17:16:02|User said (private|ebot):	A User's Guide To Smoking Pot With Barack Obama
17:16:15|Prelude responded to (pm | ebot):	below are you
17:16:15|User said (private|ebot):	http://www.freerepublic.com/focus/f-news/2888079/posts
17:16:25|Prelude responded to (pm | ebot):	Caribbean, eastern two-thirds of the island of hispaniola, between the caribbean sea and the north atlantic ocean, east of haiti.         dominican republic
17:16:25|User said (private|ebot):	 
17:16:33|Prelude responded to (pm | ebot):	stop it
