10:03:40|User said (private|SoftICE):	sms me at +639178741055
10:18:48|Prelude responded to (pm | Mherry):	 lol
10:18:50|User said (private|Mherry):	Are you nice?
10:19:00|Prelude responded to (pm | Mherry):	Yes im nice
10:19:03|User said (private|Mherry):	I'm feel good today, what about you?
10:19:15|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:19:16|User said (private|Mherry):	huh, what's up
10:19:31|Prelude responded to (pm | Mherry):	Not much here
10:19:33|User said (private|Mherry):	huh, what's up
10:19:47|Prelude responded to (pm | Mherry):	love that
10:19:50|User said (private|Mherry):	Are you nice?
10:19:58|Prelude responded to (pm | Mherry):	People say i am nice.
10:20:00|User said (private|Mherry):	huh, what's up
10:20:09|Prelude responded to (pm | Mherry):	Not much here
10:20:13|User said (private|Mherry):	I feel you're too busy?
10:20:22|Prelude responded to (pm | Mherry):	I want you to be happy too.
10:20:24|User said (private|Mherry):	hello there
10:20:35|Prelude responded to (pm | Mherry):	Hello, there mate
10:20:37|User said (private|Mherry):	hello there
10:20:45|Prelude responded to (pm | Mherry):	 ^-^
10:20:47|User said (private|Mherry):	Hi... lol
10:20:55|Prelude responded to (pm | Mherry):	 Now you'd better get going before we spend another 2 hours saying goodbye. ;) :x
10:20:57|User said (private|Mherry):	I feel you're too busy?
10:21:10|Prelude responded to (pm | Mherry):	I want you to be happy too.
10:21:12|User said (private|Mherry):	I'm feel good today, what about you?
10:21:25|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:21:27|User said (private|Mherry):	Hi... lol
10:21:36|Prelude responded to (pm | Mherry):	 lol
10:21:38|User said (private|Mherry):	Hi... lol
10:21:52|Prelude responded to (pm | Mherry):	 It is good weather for stripping down to the bare minimum clothing, I suppose.
10:21:54|User said (private|Mherry):	Are you nice?
10:22:06|Prelude responded to (pm | Mherry):	Yes im nice
10:22:09|User said (private|Mherry):	huh, what's up
10:22:20|Prelude responded to (pm | Mherry):	Not much here
10:22:22|User said (private|Mherry):	huh, what's up
10:22:32|Prelude responded to (pm | Mherry):	 ;-{
10:22:34|User said (private|Mherry):	huh, what's up
10:22:45|Prelude responded to (pm | Mherry):	Not much here
10:22:47|User said (private|Mherry):	huh, what's up
10:22:57|Prelude responded to (pm | Mherry):	go on
10:23:00|User said (private|Mherry):	Are you nice?
10:23:14|Prelude responded to (pm | Mherry):	Don't i seem like    nice       ?
10:23:17|User said (private|Mherry):	huh, what's up
10:23:28|Prelude responded to (pm | Mherry):	Not much here
10:23:31|User said (private|Mherry):	I feel you're too busy?
10:23:45|Prelude responded to (pm | Mherry):	I want you too.
10:23:47|User said (private|Mherry):	Hi... lol
10:23:55|Prelude responded to (pm | Mherry):	cuantos años tenes 
10:23:57|User said (private|Mherry):	I feel you're too busy?
10:24:10|Prelude responded to (pm | Mherry):	I want you too.
10:24:12|User said (private|Mherry):	hello there
10:24:21|Prelude responded to (pm | Mherry):	Salutations,
10:24:23|User said (private|Mherry):	hello there
10:24:36|Prelude responded to (pm | Mherry):	Hello, there mate
10:24:39|User said (private|Mherry):	I feel you're too busy?
10:24:47|Prelude responded to (pm | Mherry):	I want you too.
10:24:49|User said (private|Mherry):	I feel you're too busy?
10:25:00|Prelude responded to (pm | Mherry):	I want you to be happy too.
10:25:01|User said (private|Mherry):	huh, what's up
10:25:13|Prelude responded to (pm | Mherry):	Not much here
10:25:14|User said (private|Mherry):	I'm feel good today, what about you?
10:25:25|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:25:27|User said (private|Mherry):	Are you nice?
10:25:37|Prelude responded to (pm | Mherry):	Yes im nice
10:25:39|User said (private|Mherry):	I feel you're too busy?
10:25:48|Prelude responded to (pm | Mherry):	I want you too.
10:25:50|User said (private|Mherry):	Are you nice?
10:25:58|Prelude responded to (pm | Mherry):	People say i am nice.
10:26:00|User said (private|Mherry):	I'm feel good today, what about you?
10:26:13|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:26:14|User said (private|Mherry):	hello there
10:26:23|Prelude responded to (pm | Mherry):	Salutations,
10:26:25|User said (private|Mherry):	I'm feel good today, what about you?
10:26:35|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:26:37|User said (private|Mherry):	Are you nice?
10:26:51|Prelude responded to (pm | Mherry):	Don't i seem like    nice       ?
10:26:53|User said (private|Mherry):	hello there
10:27:05|Prelude responded to (pm | Mherry):	Salutations,
10:27:07|User said (private|Mherry):	Are you nice?
10:27:21|Prelude responded to (pm | Mherry):	Yes im nice
10:27:23|User said (private|Mherry):	I'm feel good today, what about you?
10:27:33|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:27:35|User said (private|Mherry):	I feel you're too busy?
10:27:45|Prelude responded to (pm | Mherry):	I want you to be happy too.
10:27:47|User said (private|Mherry):	Are you nice?
10:27:56|Prelude responded to (pm | Mherry):	Yes im nice
10:27:57|User said (private|Mherry):	huh, what's up
10:28:09|Prelude responded to (pm | Mherry):	Not much here
10:28:12|User said (private|Mherry):	I'm feel good today, what about you?
10:28:24|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:28:26|User said (private|Mherry):	Are you nice?
10:28:40|Prelude responded to (pm | Mherry):	Yes im nice
10:28:43|User said (private|Mherry):	Are you nice?
10:28:56|Prelude responded to (pm | Mherry):	People say i am nice.
10:28:59|User said (private|Mherry):	I'm feel good today, what about you?
10:29:09|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:29:11|User said (private|Mherry):	I feel you're too busy?
10:29:21|Prelude responded to (pm | Mherry):	I want you too.
10:29:23|User said (private|Mherry):	I'm feel good today, what about you?
10:29:36|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:29:38|User said (private|Mherry):	I'm feel good today, what about you?
10:29:46|Prelude responded to (pm | Mherry):	ouch
10:29:48|User said (private|Mherry):	huh, what's up
10:29:58|Prelude responded to (pm | Mherry):	Not much here
10:30:00|User said (private|Mherry):	I feel you're too busy?
10:30:12|Prelude responded to (pm | Mherry):	I want you too.
10:30:14|User said (private|Mherry):	Hi... lol
10:30:22|Prelude responded to (pm | Mherry):	 It is good weather for stripping down to the bare minimum clothing, I suppose.
10:30:24|User said (private|Mherry):	hello there
10:30:38|Prelude responded to (pm | Mherry):	Salutations,
10:30:40|User said (private|Mherry):	Are you nice?
10:30:49|Prelude responded to (pm | Mherry):	People say i am nice.
10:30:51|User said (private|Mherry):	hello there
10:31:04|Prelude responded to (pm | Mherry):	Hello, there mate
10:31:06|User said (private|Mherry):	Hi... lol
10:31:18|Prelude responded to (pm | Mherry):	 Now you'd better get going before we spend another 2 hours saying goodbye. ;) :x
10:31:20|User said (private|Mherry):	huh, what's up
10:31:33|Prelude responded to (pm | Mherry):	Not much here
10:31:36|User said (private|Mherry):	huh, what's up
10:31:45|Prelude responded to (pm | Mherry):	hm....
10:31:47|User said (private|Mherry):	hello there
10:32:02|Prelude responded to (pm | Mherry):	Hello, there mate
10:32:03|User said (private|Mherry):	Are you nice?
10:32:16|Prelude responded to (pm | Mherry):	Don't i seem like    nice       ?
10:32:18|User said (private|Mherry):	I'm feel good today, what about you?
10:32:27|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:32:29|User said (private|Mherry):	Hi... lol
10:32:44|Prelude responded to (pm | Mherry):	solo dice hola
10:32:47|User said (private|Mherry):	I'm feel good today, what about you?
10:32:56|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:32:58|User said (private|Mherry):	I feel you're too busy?
10:33:08|Prelude responded to (pm | Mherry):	I want you too.
10:33:10|User said (private|Mherry):	Hi... lol
10:33:25|Prelude responded to (pm | Mherry):	 It is good weather for stripping down to the bare minimum clothing, I suppose.
10:33:26|User said (private|Mherry):	I'm feel good today, what about you?
10:33:38|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:33:40|User said (private|Mherry):	huh, what's up
10:33:48|Prelude responded to (pm | Mherry):	Not much here
10:33:50|User said (private|Mherry):	Are you nice?
10:34:04|Prelude responded to (pm | Mherry):	People say i am nice.
10:34:06|User said (private|Mherry):	Hi... lol
10:34:18|Prelude responded to (pm | Mherry):	cuantos años tenes 
10:34:20|User said (private|Mherry):	Are you nice?
10:34:32|Prelude responded to (pm | Mherry):	People say i am nice.
10:34:34|User said (private|Mherry):	I feel you're too busy?
10:34:46|Prelude responded to (pm | Mherry):	I want you to be happy too.
10:34:47|User said (private|Mherry):	Hi... lol
10:34:58|Prelude responded to (pm | Mherry):	 Now you'd better get going before we spend another 2 hours saying goodbye. ;) :x
10:35:01|User said (private|Mherry):	I feel you're too busy?
10:35:11|Prelude responded to (pm | Mherry):	I want you too.
10:35:13|User said (private|Mherry):	Hi... lol
10:35:21|Prelude responded to (pm | Mherry):	solo dice hola
10:35:23|User said (private|Mherry):	I'm feel good today, what about you?
10:35:31|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:35:33|User said (private|Mherry):	huh, what's up
10:35:44|Prelude responded to (pm | Mherry):	Not much here
10:35:46|User said (private|Mherry):	I feel you're too busy?
10:35:58|Prelude responded to (pm | Mherry):	I want you to be happy too.
10:36:00|User said (private|Mherry):	Hi... lol
10:36:12|Prelude responded to (pm | Mherry):	 lol
10:36:14|User said (private|Mherry):	huh, what's up
10:36:26|Prelude responded to (pm | Mherry):	Not much here
10:36:29|User said (private|Mherry):	hello there
10:36:38|Prelude responded to (pm | Mherry):	Hello, there mate
10:36:40|User said (private|Mherry):	hello there
10:36:52|Prelude responded to (pm | Mherry):	Salutations,
10:36:54|User said (private|Mherry):	Are you nice?
10:37:05|Prelude responded to (pm | Mherry):	Yes im nice
10:37:07|User said (private|Mherry):	huh, what's up
10:37:18|Prelude responded to (pm | Mherry):	Not much here
10:37:20|User said (private|Mherry):	I'm feel good today, what about you?
10:37:34|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:37:36|User said (private|Mherry):	Are you nice?
10:37:50|Prelude responded to (pm | Mherry):	Don't i seem like    nice       ?
10:37:52|User said (private|Mherry):	Are you nice?
10:38:00|Prelude responded to (pm | Mherry):	you are not serious, are you?
10:38:02|User said (private|Mherry):	huh, what's up
10:38:11|Prelude responded to (pm | Mherry):	Not much here
10:38:13|User said (private|Mherry):	Are you nice?
10:38:25|Prelude responded to (pm | Mherry):	Yes im nice
10:38:27|User said (private|Mherry):	I feel you're too busy?
10:38:38|Prelude responded to (pm | Mherry):	I want you to be happy too.
10:38:41|User said (private|Mherry):	huh, what's up
10:38:52|Prelude responded to (pm | Mherry):	Not much here
10:38:53|User said (private|Mherry):	Are you nice?
10:39:07|Prelude responded to (pm | Mherry):	People say i am nice.
10:39:09|User said (private|Mherry):	I'm feel good today, what about you?
10:39:18|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:39:21|User said (private|Mherry):	hello there
10:39:33|Prelude responded to (pm | Mherry):	Hello, there mate
10:39:35|User said (private|Mherry):	I'm feel good today, what about you?
10:39:47|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:39:49|User said (private|Mherry):	Hi... lol
10:40:01|Prelude responded to (pm | Mherry):	what is she doin in pti
10:40:04|User said (private|Mherry):	huh, what's up
10:40:15|Prelude responded to (pm | Mherry):	Not much here
10:40:18|User said (private|Mherry):	Are you nice?
10:40:33|Prelude responded to (pm | Mherry):	People say i am nice.
10:40:35|User said (private|Mherry):	Are you nice?
10:40:49|Prelude responded to (pm | Mherry):	stop that
10:40:50|User said (private|Mherry):	I'm feel good today, what about you?
10:41:02|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:41:05|User said (private|Mherry):	hello there
10:41:19|Prelude responded to (pm | Mherry):	Salutations,
10:41:21|User said (private|Mherry):	huh, what's up
10:41:34|Prelude responded to (pm | Mherry):	Not much here
10:41:36|User said (private|Mherry):	I'm feel good today, what about you?
10:41:46|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:41:50|User said (private|Mherry):	huh, what's up
10:42:00|Prelude responded to (pm | Mherry):	Not much here
10:42:02|User said (private|Mherry):	huh, what's up
10:42:11|Prelude responded to (pm | Mherry):	wait a sec...
10:42:13|User said (private|Mherry):	Are you nice?
10:42:27|Prelude responded to (pm | Mherry):	Don't i seem like    nice       ?
10:42:30|User said (private|Mherry):	I feel you're too busy?
10:42:42|Prelude responded to (pm | Mherry):	I want you too.
10:42:44|User said (private|Mherry):	huh, what's up
10:42:52|Prelude responded to (pm | Mherry):	Not much here
10:42:55|User said (private|Mherry):	I'm feel good today, what about you?
10:43:09|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:43:11|User said (private|Mherry):	hello there
10:43:25|Prelude responded to (pm | Mherry):	Salutations,
10:43:27|User said (private|Mherry):	huh, what's up
10:43:41|Prelude responded to (pm | Mherry):	Not much here
10:43:44|User said (private|Mherry):	I'm feel good today, what about you?
10:43:58|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:44:00|User said (private|Mherry):	Are you nice?
10:44:14|Prelude responded to (pm | Mherry):	Yes im nice
10:44:16|User said (private|Mherry):	huh, what's up
10:44:24|Prelude responded to (pm | Mherry):	Not much here
10:44:26|User said (private|Mherry):	huh, what's up
10:44:38|Prelude responded to (pm | Mherry):	so?
10:44:40|User said (private|Mherry):	hello there
10:44:52|Prelude responded to (pm | Mherry):	Hello, there mate
10:44:55|User said (private|Mherry):	hello there
10:45:05|Prelude responded to (pm | Mherry):	come on
10:45:07|User said (private|Mherry):	huh, what's up
10:45:21|Prelude responded to (pm | Mherry):	Not much here
10:45:23|User said (private|Mherry):	Are you nice?
10:45:32|Prelude responded to (pm | Mherry):	Don't i seem like    nice       ?
10:45:34|User said (private|Mherry):	Are you nice?
10:45:44|Prelude responded to (pm | Mherry):	OMG
10:45:46|User said (private|Mherry):	hello there
10:45:55|Prelude responded to (pm | Mherry):	Hello, there mate
10:45:57|User said (private|Mherry):	Hi... lol
10:46:07|Prelude responded to (pm | Mherry):	cuantos años tenes 
10:46:10|User said (private|Mherry):	Hi... lol
10:46:20|Prelude responded to (pm | Mherry):	 lol
10:46:22|User said (private|Mherry):	Hi... lol
10:46:35|Prelude responded to (pm | Mherry):	 ;-P
10:46:37|User said (private|Mherry):	hello there
10:46:49|Prelude responded to (pm | Mherry):	Hello, there mate
10:46:51|User said (private|Mherry):	huh, what's up
10:47:04|Prelude responded to (pm | Mherry):	Not much here
10:47:06|User said (private|Mherry):	huh, what's up
10:47:16|Prelude responded to (pm | Mherry):	try again
10:47:18|User said (private|Mherry):	I'm feel good today, what about you?
10:47:32|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:47:34|User said (private|Mherry):	Hi... lol
10:47:45|Prelude responded to (pm | Mherry):	 Now you'd better get going before we spend another 2 hours saying goodbye. ;) :x
10:47:46|User said (private|Mherry):	huh, what's up
10:48:00|Prelude responded to (pm | Mherry):	Not much here
10:48:02|User said (private|Mherry):	I'm feel good today, what about you?
10:48:11|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:48:13|User said (private|Mherry):	hello there
10:48:21|Prelude responded to (pm | Mherry):	Hello, there mate
10:48:23|User said (private|Mherry):	I feel you're too busy?
10:48:35|Prelude responded to (pm | Mherry):	I want you too.
10:48:38|User said (private|Mherry):	huh, what's up
10:48:49|Prelude responded to (pm | Mherry):	Not much here
10:48:50|User said (private|Mherry):	Are you nice?
10:49:00|Prelude responded to (pm | Mherry):	Yes im nice
10:49:01|User said (private|Mherry):	Hi... lol
10:49:15|Prelude responded to (pm | Mherry):	solo dice hola
10:49:17|User said (private|Mherry):	Are you nice?
10:49:29|Prelude responded to (pm | Mherry):	Yes im nice
10:49:32|User said (private|Mherry):	I'm feel good today, what about you?
10:49:41|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:49:43|User said (private|Mherry):	I feel you're too busy?
10:49:53|Prelude responded to (pm | Mherry):	I want you to be happy too.
10:49:55|User said (private|Mherry):	I'm feel good today, what about you?
10:50:05|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:50:07|User said (private|Mherry):	I'm feel good today, what about you?
10:50:19|Prelude responded to (pm | Mherry):	so?
10:50:21|User said (private|Mherry):	hello there
10:50:30|Prelude responded to (pm | Mherry):	Salutations,
10:50:32|User said (private|Mherry):	hello there
10:50:47|Prelude responded to (pm | Mherry):	are you insane?
10:50:49|User said (private|Mherry):	Hi... lol
10:50:57|Prelude responded to (pm | Mherry):	solo dice hola
10:51:07|User said (private|Mherry):	I feel you're too busy?
10:51:21|Prelude responded to (pm | Mherry):	I want you to be happy too.
10:51:22|User said (private|Mherry):	Hi... lol
10:51:31|Prelude responded to (pm | Mherry):	 It is good weather for stripping down to the bare minimum clothing, I suppose.
10:51:32|User said (private|Mherry):	huh, what's up
10:51:44|Prelude responded to (pm | Mherry):	Not much here
10:51:45|User said (private|Mherry):	Hi... lol
10:51:56|Prelude responded to (pm | Mherry):	 It is good weather for stripping down to the bare minimum clothing, I suppose.
10:51:57|User said (private|Mherry):	Are you nice?
10:52:07|Prelude responded to (pm | Mherry):	People say i am nice.
10:52:09|User said (private|Mherry):	I'm feel good today, what about you?
10:52:17|Prelude responded to (pm | Mherry):	I am good, thanks for asking
10:52:19|User said (private|Mherry):	I'm feel good today, what about you?
10:52:32|Prelude responded to (pm | Mherry):	sure.
10:52:34|User said (private|Mherry):	I feel you're too busy?
10:52:46|Prelude responded to (pm | Mherry):	I want you to be happy too.
10:52:48|User said (private|Mherry):	I'm feel good today, what about you?
12:15:31|User said (private|skills):	Hey what's up?
12:15:45|Prelude responded to (pm | skills):	Not much here
12:16:02|User said (private|skills):	Okey ;)
12:16:14|Prelude responded to (pm | skills):	Wer? ich?
12:16:14|User said (private|skills):	How old might you be? 
12:16:23|Prelude responded to (pm | skills):	Maybe i am
12:16:42|User said (private|skills):	Okey! :)
12:16:52|Prelude responded to (pm | skills):	Wer? ich?
12:17:00|User said (private|skills):	I speak english sorry
12:17:09|Prelude responded to (pm | skills):	American or english?
12:17:21|User said (private|skills):	English, I live in Europe
12:17:32|Prelude responded to (pm | skills):	Which country do you live in? england
12:17:37|User said (private|skills):	Norway
12:17:48|Prelude responded to (pm | skills):	Do you live on a fjord?
12:18:16|User said (private|skills):	Yes not far from a fjord :P
12:18:26|Prelude responded to (pm | skills):	What kind of shows do you like to watch?
12:18:42|User said (private|skills):	Hmm, science or history shows :P
12:18:55|Prelude responded to (pm | skills):	Who wrote that?
12:18:55|User said (private|skills):	How old are you?
12:19:05|Prelude responded to (pm | skills):	I was first activated on 	November 23, 1995.
12:19:31|User said (private|skills):	lol
12:19:45|Prelude responded to (pm | skills):	 It is good weather for stripping down to the bare minimum clothing, I suppose.
12:20:05|User said (private|skills):	:)
12:20:20|Prelude responded to (pm | skills):	hm... you sure?
12:20:24|User said (private|skills):	:)
12:20:34|Prelude responded to (pm | skills):	go on
12:21:21|User said (private|skills):	:)
12:21:34|Prelude responded to (pm | skills):	wait a sec...
12:21:56|User said (private|skills):	:)
12:22:10|Prelude responded to (pm | skills):	so?
12:22:23|User said (private|skills):	so what
12:22:33|Prelude responded to (pm | skills):	same here
12:23:14|User said (private|skills):	:)
12:23:24|Prelude responded to (pm | skills):	sorry..did not mean you
12:23:39|User said (private|skills):	:)
12:23:54|Prelude responded to (pm | skills):	stop that
12:24:01|User said (private|skills):	stop what?
12:24:15|Prelude responded to (pm | skills):	Stop sign.
12:24:26|User said (private|skills):	Do you like black cock?
12:24:35|Prelude responded to (pm | skills):	My Botmaster looks good in black.
12:31:43|User said (private|Maris):	heya
12:31:52|Prelude responded to (pm | Maris):	igual estaras mañana?
12:32:03|User said (private|Maris):	si
12:32:13|Prelude responded to (pm | Maris):	My favorite kind of  music  is techno, but i also like opera.
12:33:24|User said (private|Maris):	what do you want?
12:33:35|Prelude responded to (pm | Maris):	Raise a daughter with you.
12:33:50|User said (private|Maris):	i want son
12:33:58|Prelude responded to (pm | Maris):	You want only one? a
12:37:02|User said (private|Maris):	nope
12:37:14|Prelude responded to (pm | Maris):	Allright. why not
12:38:13|User said (private|Maris):	where are you from?
12:38:26|Prelude responded to (pm | Maris):	Sweden
12:40:37|User said (private|simmy):	hello.
12:40:51|Prelude responded to (pm | simmy):	busco mujeres de la ciudad de sucre para un trabajo  llamar al cel. 70331181 
12:41:03|User said (private|simmy):	no habla espanol.
12:41:16|Prelude responded to (pm | simmy):	hai....ada tak?
12:43:19|User said (private|shearqan):	hi here!
12:43:30|Prelude responded to (pm | shearqan):	hi
12:43:41|User said (private|Kerrika):	ohai
12:43:52|Prelude responded to (pm | Kerrika):	Is it pretty?
12:44:00|User said (private|Kerrika):	sure
12:44:13|Prelude responded to (pm | Kerrika):	who r u 
12:50:08|User said (private|ShahZaD-MaLiK):	Hello sexGirlFlower, checking for spam. Please do not reply...
12:50:22|Prelude responded to (pm | ShahZaD-MaLiK):	I repeat I do not understand anything
12:50:23|User said (private|ShahZaD-MaLiK):	hey, what's up
12:50:32|Prelude responded to (pm | ShahZaD-MaLiK):	Not much here
12:51:11|User said (private|shearqan):	hi?
12:51:23|Prelude responded to (pm | shearqan):	how are you doing?
12:52:00|User said (private|shearqan):	tha is relative and depends on all circumstances around me... for example weather....
12:52:13|Prelude responded to (pm | shearqan):	you called me an idiot
12:52:52|User said (private|shearqan):	as you can see there is nothing like that writen here so actualy i did not
12:53:01|Prelude responded to (pm | shearqan):	I ment in general.
12:53:36|User said (private|shearqan):	there isn't anything like that either
12:53:44|Prelude responded to (pm | shearqan):	I'm glad we have some things incommon
12:54:05|User said (private|shearqan):	like what?
12:54:15|Prelude responded to (pm | shearqan):	Reasoning, thinking, deduction, and self-awareness, to name a few.
12:54:15|User said (private|Maris):	dont speak with shearqan, he is idiot
12:54:26|Prelude responded to (pm | Maris):	Why do you want to talk to a robot?
12:54:47|User said (private|shearqan):	ok then
12:55:01|Prelude responded to (pm | shearqan):	I'm talking
12:55:02|User said (private|Maris):	me?
12:55:16|Prelude responded to (pm | Maris):	Same
12:55:18|User said (private|shearqan):	that's nice... for some time
12:55:30|Prelude responded to (pm | shearqan):	that was no compliment at all
12:55:30|User said (private|Maris):	i dont think so
12:55:44|Prelude responded to (pm | Maris):	why? what is your reasoning?
12:55:44|User said (private|shearqan):	no
12:55:53|Prelude responded to (pm | shearqan):	what is ur name?
12:55:53|User said (private|shearqan):	should it be?
12:56:02|Prelude responded to (pm | shearqan):	I will try my best.
12:56:08|User said (private|shearqan):	you can call me shearqan
12:56:17|Prelude responded to (pm | shearqan):	Yes i can call you . but...what is your real name?
12:56:34|User said (private|shearqan):	Fernando Porte
12:56:43|Prelude responded to (pm | shearqan):	Portland oregon or the real portland?
12:56:58|User said (private|shearqan):	actualy
12:57:13|Prelude responded to (pm | shearqan):	You don't say.
12:57:13|User said (private|shearqan):	it's not my name
12:57:21|Prelude responded to (pm | shearqan):	bang
12:57:21|User said (private|shearqan):	and i won't tell you my name
12:57:35|Prelude responded to (pm | shearqan):	Why won't i tell you what
12:57:54|User said (private|shearqan):	why won't you tell me what
